index,adr_department_name,adr_province_name,adr_district_name,OTROS,OTROS_BBVA,OTROS_BCP,OTROS_IBK,OTROS_NO PARTICIPANTES,OTROS_OTROS,OTROS_SCO,PRODUCTO PN,PRODUCTO PN_BBVA,PRODUCTO PN_BCP,PRODUCTO PN_IBK,PRODUCTO PN_NO PARTICIPANTES,PRODUCTO PN_OTROS,PRODUCTO PN_SCO,PRODUCTO PYME,PRODUCTO PYME_BBVA,PRODUCTO PYME_BCP,PRODUCTO PYME_IBK,PRODUCTO PYME_NO PARTICIPANTES,PRODUCTO PYME_OTROS,PRODUCTO PYME_SCO
1026,HUANUCO,LEONCIO PRADO,SANTO DOMINGO DE ANDA,,143,13626,450,1333401,56056,1780,,107463,71001,,77062,23480,67,,,,,430258,50559,
1027,HUANUCO,LEONCIO PRADO,TINGO MARIA,297545,4746591,9886625,1687447,35572141,4376298,3358688,,7885137,8561899,4641687,15418785,2826941,2749226,52112,733106,2162386,44713,10374331,3388491,103664
1028,HUANUCO,MARAÑON,CHOLÓN,9128,756778,288340,5595,22048458,910365,37770,,542292,949633,172652,2691542,334814,320353,2838,,400884,,7536536,666388,
1029,HUANUCO,MARAÑON,HUACRACHUCO,177701,904072,412461,684442,8173762,3557034,452183,,1380689,1271967,947385,10247901,1438408,580319,24634,,182771,,4041578,2177176,48276
1030,HUANUCO,MARAÑON,LA MORADA,,2234,244781,888,4330114,223076,441,,117171,49563,18980,191588,95118,78028,,,92702,,1433020,128785,
1031,HUANUCO,MARAÑON,SAN BUENAVENTURA,,67434,9455,20034,980509,16109,22759,,288830,175166,73281,581572,34093,216981,,,,,203755,19489,
1032,HUANUCO,MARAÑON,SANTA ROSA DE ALTO YANAJANCA,,1134,3080,1026,1016712,569032,390,,89115,5029,175506,248166,1600,67602,,,25916,,437186,202746,
1033,HUANUCO,PACHITEA,CHAGLLA,123572,400133,1974908,200076,33428414,5580683,781308,,1046279,2099822,714127,3038240,625049,147334,66264,77181,732843,,11437645,3866115,447644
1034,HUANUCO,PACHITEA,MOLINO,46257,497293,2022134,115684,47415796,12697369,1627806,,1181208,1083050,976892,4102955,1364415,515103,29330,11456,968614,,21810502,8563180,541940
1035,HUANUCO,PACHITEA,PACHITEA,,,,,43521,6000,,,,,,,,,,,,,9126,,
1036,HUANUCO,PACHITEA,PANAO,184065,299003,5008693,129295,69185812,11389659,1496279,,2135992,1353508,2821567,7242882,1719524,1152495,148170,203489,1642956,,28273331,8696598,908470
1037,HUANUCO,PACHITEA,UMARI,67015,102349,106603,304765,20742815,3432702,229306,,1132308,1078876,784170,2567789,632992,399064,52622,19998,525242,,8698224,2816323,58660
1038,HUANUCO,PUERTO INCA,CODO DEL POZUZO,,92587,238649,7766,60292158,2117113,16278,,328378,772662,393304,2000409,158486,129055,,69413,891231,,15568278,3817192,
1039,HUANUCO,PUERTO INCA,HONORÍA,214863,765203,155558,98116,20390550,865517,159398,,604896,894412,305298,1706689,302949,201398,206020,,13900,,3621312,649073,
1040,HUANUCO,PUERTO INCA,PUERTO INCA,106063,2192194,173919,159766,56299925,3095041,531250,,2834084,722397,780860,5514686,934360,959526,5080,211416,541674,,16136000,2572342,190434
1041,HUANUCO,PUERTO INCA,TOURNAVISTA,31795,24415,65835,5782,25054179,1253102,103016,,171890,293038,192934,1603024,278276,46718,34467,,129683,,5997213,1111661,
