Nombre Banco;Departamento;Provincia;Distrito;Dirección;Latitud;Longitud;Tipo;Nombre Punto;Horario,,,,
BCP;LIMA;LIMA;SAN MARTIN DE PORRES;AVENIDA PERÃ NUMERO 3261;-12.0315753;-77.082253;ATM;BOTICA MODERNA;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;PIURA;PIURA;CASTILLA;AVENIDA SÃNCHEZ CERRO NUMERO 785;-5.19221423;-80.628636;ATM;NORTFARMA S.A.C;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;PIURA;PIURA;CASTILLA;AVENIDA RAMÃN CASTILLA NUMERO 113;-5.197400192;-80.6230576;ATM;NORTFARMA S.A.C;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;AREQUIPA;AREQUIPA;YANAHUARA;AVENIDA TRINIDAD MORAN MANZANA K  LOTE 6;-16.39071934;-71.54792785;ATM;SAO PAULO 2;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;AREQUIPA;AREQUIPA;AREQUIPA;CALLE MANUEL MUÃOZ NAJAR NUMERO 264 ( CRUCE CON AV. LA PAZ. );-16.39708647;-71.52524001;ATM;SAO PAULO 2;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;LA LIBERTAD;TRUJILLO;TRUJILLO;AVENIDA BOLOGNESI NUMERO 678;-8.1152466;-79.0279476;ATM;NORTFARMA S.A.C;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;LA LIBERTAD;TRUJILLO;TRUJILLO;JIRON SIMÃN BOLÃVAR NUMERO 424-428;-8.1133885;-79.0275739;ATM;NORTFARMA S.A.C;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;AREQUIPA;AREQUIPA;CERRO COLORADO;AVENIDA PUMACAHUA NUMERO 316;-16.37824588;-71.55691146;ATM;BODEGA ANSHEKA;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;LIMA;LIMA;PACHACAMAC;AVENIDA VICTOR MALASQUEZ MANZANA U LOTE 3 SECTOR C.P.HUERTOS DE MANCHAY;-12.122847;-76.8723371;ATM;COMERCIAL ROMINA;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;LIMA;LIMA;SANTIAGO DE SURCO;URBANIZACION PROLONGACION BENAVIDES JIRON LOMA UMBROSA NUMERO 420;-12.1396875;-76.9885493;ATM;FARMACIO NIÂ¥O DE AYAVI;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;LIMA;LIMA;LIMA;URBANIZACION MIRONES BAJOS CALLE MANUEL PEREZ DE TUDELA NUMERO 3326;-12.0379646;-77.0824696;ATM;BOTICA CONFRATERNIDAD;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;CALLAO;CALLAO;CALLAO;URBANIZACION PRIMAVERA AVENIDA ALFREDO PALACIOS NUMERO 513;-12.0548486;-77.1228401;ATM;BOTICA FARMA YUTO;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;AREQUIPA;AREQUIPA;MIRAFLORES;AVENIDA UNION NUMERO 314-A;-16.3946052;-71.52252056;ATM;CONSULTORIO MEDICO MILAGRO;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;LIMA;LIMA;SAN JUAN DE LURIGANCHO;ASOCIACIÃN LAS VIOLETAS AVENIDA LOS TUSILAGOS NUMERO 434     MZ. C MANZANA C LOTE 13;-12.012591;-77.008179;ATM;FARMACIA ANDAHUAYLAS;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;LIMA;LIMA;LIMA;JIRON CASTROVIRREYNA NUMERO 888 Y 890;-12.062747;-77.05579826;ATM;MINI MARKET DON TOMÃS;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;CALLAO;CALLAO;CALLAO;MERCADO SANTA ROSA AVENIDA BERTELLO SIN NUMERACION S/N TIENDA 8 Y 9 TIENDA 8 Y 9;-12.018364;-77.10126847;ATM;LAVANDERIA SPLASH;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;LIMA;LIMA;SAN ISIDRO;CALLE Juan Dellepiani NUMERO 301;-12.10099899;-77.05505925;ATM;BODEGA CARMENCITA;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;LORETO;ALTO AMAZONAS;YURIMAGUAS;AVENIDA ANASTASIO JAUREGUI  NUMERO 306;-5.8958611;-76.1072211;ATM;BOTICA LA INMACULADA;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;LIMA;LIMA;EL AGUSTINO;URBANIZACION PUENTE SANTA ROSA DE QUIVES JIRON LOS AZAHARES;-12.05346867;-76.97687897;ATM;MINI MARKET DON MARCIAL;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;LIMA;LIMA;CHORRILLOS;AVENIDA Guardia Civil NUMERO 162 NUMERO 166;-12.1850005;-77.0068954;ATM;MAS SALUD;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;LIMA;LIMA;SAN JUAN DE MIRAFLORES;AVENIDA JOSE CARLOS MARIATEGUI NUMERO 261;-12.158677;-76.9552169;ATM;BOTICA KATTY;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;LIMA;LIMA;ATE;URBANIZACION Las Acacias de Monterrico AVENIDA La Molina 1017 Tda 02 MANZANA A LOTE 2;-12.0695998;-76.957466;ATM;BOTICA LA MOLINA;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;UCAYALI;CORONEL PORTILLO;CALLERIA;PUEBLO JOVEN SAN FERNANDO AVENIDA BELLAVISTA NUMERO 375A;-8.39895326;-74.5365296;ATM;BOTICA SARITA COLONIA;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;LIMA;LIMA;PUENTE PIEDRA;CALLE PROCERES DE LA INDEPENDENCIA NUMERO 198 MANZANA F LOTE 05 URBANIZACION SANTA ROSA;-11.8630987;-77.0763436;ATM;BOTICAS HOGAR & SALUD;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;LIMA;LIMA;LIMA;AVENIDA MARIANO CORNEJO NUMERO 1499;-12.0678751;-77.0674278;ATM;MARKET LALOS;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;LIMA;LIMA;RIMAC;URBANIZACION Ciudad y Campo JIRON Barreda y Aguilar NUMERO 113;-12.02462206;-77.02757693;ATM;DIKAPA;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;LIMA;LIMA;ATE;URBANIZACION LOS SAUCES AVENIDA LOS SAUCES NUMERO 366;-12.068651;-76.984361;ATM;MAS SALUD BOTICAS BERNA;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;PIURA;PIURA;PIURA;ASENTAMIENTO HUMANO SAN PEDRO AVENIDA ESQUINA GULLMAN Y CIRCUNVALACIÃN MANZANA 4 LOTE 14B;-5.197666;-80.64198285;ATM;COM Y SERV GEN G Y S;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;LIMA;LIMA;CHORRILLOS;AVENIDA SANTA ANITA NUMERO 105;-12.18775158;-77.00802029;ATM;MAS SALUD;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;LIMA;LIMA;LIMA;AVENIDA Manco Capac NUMERO 800;-12.06833966;-77.02867854;ATM;BOTICAS SEÃOR DE LOS MILAGROS;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;LIMA;LIMA;INDEPENDENCIA;ASOCIACIÃN TAHUANTINSUYO AVENIDA ANTISUYO NUMERO 508 TIENDA 08;-11.9779075;-77.0466897;ATM;FARMAX;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;AMAZONAS;UTCUBAMBA;BAGUA GRANDE;AVENIDA CHACHAPOYAS  NUMERO 2118;-5.7556238;-78.44219001;ATM;FARMACIA BAGUA GRANDE;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;LIMA;LIMA;INDEPENDENCIA;AVENIDA AV. CHINCHAYSUYO NUMERO 371 URBANIZACION TUPAC AMARU;-11.9783747;-77.0532127;ATM;BOTICA NOVAMAX;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;JUNIN;HUANCAYO;CHILCA;AVENIDA 9 DE DICIEMBRE NUMERO 785;-12.0861557;-75.20801211;ATM;SERVICIOS FARMARAMOS I;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;LIMA;LIMA;ATE;AVENIDA LOS VIRREYES MANZANA A LOTE 01 URBANIZACION RESIDENCIAL RISSO;-12.04659689;-76.94810232;ATM;MAXI STORE;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;LIMA;HUARAL;CHANCAY;AVENIDA LOPEZ DE ZÃÃIGA NUMERO 236;-11.56369283;-77.27011855;ATM;BOTICAS HOGAR & SALUD;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;LIMA;LIMA;SAN LUIS;URBANIZACION VILLA JARDIN JIRON LA MADRILEÃA NUMERO 226;-12.0782622;-76.9919455;ATM;BOTICAS INTIFARMA;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;LIMA;LIMA;SAN MARTIN DE PORRES;AVENIDA PERÃ NUMERO 1912;-12.0319079;-77.0654605;ATM;BOTICA MODERNA;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;LIMA;LIMA;LIMA;URBANIZACION ASINCOOP AVENIDA ALEJANDRO BERTELLO NUMERO 859 MANZANA N LOTE 14;-12.0642213;-77.0709847;ATM;B & V MINIMARKET;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;LIMA;LIMA;MIRAFLORES;AVENIDA REPUBLICA DE PANAMA NUMERO 4850;-12.1135738;-77.0185479;ATM;FARMACIA SAN FRANCISCO II;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;JUNIN;HUANCAYO;HUANCAYO;AVENIDA FERROCARRIL NUMERO 777;-12.05381777;-75.21348262;ATM;LOCUTORIO NORMA;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;AREQUIPA;AREQUIPA;MARIANO MELGAR;AVENIDA SIMON BOLIVAR NUMERO 1417;-16.40622222;-71.51142976;ATM;SUPERMERCADO DE COMPRAS;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;AREQUIPA;AREQUIPA;YANAHUARA;CALLE GUSTAVO CORNEJO MANZANA A LOTE 1O;-16.40258531;-71.55124001;ATM;GINZA M.R.;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;AREQUIPA;CARAVELI;ATICO;URBANIZACION LA FLORIDA AVENIDA SAN PEDRO NUMERO 622;-16.2271661;-73.6135629;ATM;SAN PEDRO EIRL;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;LIMA;LIMA;SAN JUAN DE LURIGANCHO;PROGRAMA CIUDAD MARISCAL CACERES SV. MANZANA K-3 LOTE 2;-11.9596704;-76.9857857;ATM;BOTICAS RUBY;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;AREQUIPA;AREQUIPA;AREQUIPA;CALLE PERAL NUMERO 567-D;-16.39355472;-71.53074001;ATM;BOTICA REMEDIOS;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;LIMA;LIMA;LURIN;JIRON LIMA MANZANA 42 LOTE 3 PACHACAMAC;-12.2279963;-76.8622275;ATM;BOTICA EL PUEBLO;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;LIMA;LIMA;SAN JUAN DE LURIGANCHO;URBANIZACION SAN HILARION AVENIDA LOS POSTES NUMERO 106;-11.99724564;-77.00918184;ATM;NOVAFARMA;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;AREQUIPA;CASTILLA;APLAO;CENTRO POBLADO APLAO MANZANA 51 LOTE 3 VIA MORAN S/N;-16.07673811;-72.49200102;ATM;FARMAVIDA JCC APLAO;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;LIMA;LIMA;SAN MARTIN DE PORRES;AVENIDA GERMAN AGUIRRE NUMERO 1626;-12.0182966;-77.08090129;ATM;LOBATON FARMA;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;LIMA;LIMA;LIMA;URBANIZACION TRINIDAD AVENIDA ARICA NUMERO 2542 MANZANA 24 LOTE 11;-12.0523114;-77.066556;ATM;BODEGA HECTORÃN;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
