departamento,provincia,distrito,banco,monto_pn,monto_pyme,monto_general,total_pn,total_pyme,total_general,%Participacion_PN,%Participacion_PYME,%Participacion_General
HUANCAVELÍCA,ANGARAES,CONGALLA,IBK,209466.0,0.0,209466.0,1220002.0,82907.0,1302909.0,0.1716931611587522,0.0,0.16076794311805354
HUANCAVELÍCA,ANGARAES,CONGALLA,SCO,60870.0,0.0,60870.0,1220002.0,82907.0,1302909.0,0.04989336083055602,0.0,0.04671853521619699
HUANCAVELÍCA,ANGARAES,HUALLAY GRANDE,BBVA,28129.0,0.0,28129.0,297446.0,2300.0,299746.0,0.09456842586553525,0.0,0.09384278689290265
HUANCAVELÍCA,ANGARAES,HUALLAY GRANDE,BCP,95666.0,2300.0,97966.0,297446.0,2300.0,299746.0,0.32162476550365443,1.0,0.3268300494418608
HUANCAVELÍCA,ANGARAES,HUALLAY GRANDE,IBK,120522.0,0.0,120522.0,297446.0,2300.0,299746.0,0.4051895133906659,0.0,0.40208042809578776
HUANCAVELÍCA,ANGARAES,HUALLAY GRANDE,SCO,53129.0,0.0,53129.0,297446.0,2300.0,299746.0,0.17861729524014444,0.0,0.1772467355694488
HUANCAVELÍCA,ANGARAES,HUANCA HUANCA,BBVA,124200.0,0.0,124200.0,365940.0,25800.0,391740.0,0.3393999016232169,0.0,0.3170470209833052
HUANCAVELÍCA,ANGARAES,HUANCA HUANCA,BCP,145016.0,25800.0,170816.0,365940.0,25800.0,391740.0,0.3962835437503416,1.0,0.4360443151069587
HUANCAVELÍCA,ANGARAES,HUANCA HUANCA,IBK,90454.0,0.0,90454.0,365940.0,25800.0,391740.0,0.24718259824014865,0.0,0.23090315004850157
HUANCAVELÍCA,ANGARAES,HUANCA HUANCA,SCO,6270.0,0.0,6270.0,365940.0,25800.0,391740.0,0.017133956386292833,0.0,0.016005513861234492
HUANCAVELÍCA,ANGARAES,JULCAMARCA,BBVA,152809.0,0.0,152809.0,670206.0,0.0,670206.0,0.22800303190362367,,0.22800303190362367
HUANCAVELÍCA,ANGARAES,JULCAMARCA,BCP,203936.0,0.0,203936.0,670206.0,0.0,670206.0,0.30428853218264235,,0.30428853218264235
HUANCAVELÍCA,ANGARAES,JULCAMARCA,IBK,259071.0,0.0,259071.0,670206.0,0.0,670206.0,0.3865542833099077,,0.3865542833099077
HUANCAVELÍCA,ANGARAES,JULCAMARCA,SCO,54390.0,0.0,54390.0,670206.0,0.0,670206.0,0.08115415260382629,,0.08115415260382629
HUANCAVELÍCA,ANGARAES,LIRCAY,BBVA,3809034.0,240220.0,4049254.0,17815276.0,2814506.0,20629782.0,0.21380718435122756,0.08535067965746032,0.19628195780255941
HUANCAVELÍCA,ANGARAES,LIRCAY,BCP,8154938.0,2473931.0,10628869.0,17815276.0,2814506.0,20629782.0,0.4577497424120738,0.8789929742555177,0.5152196470132355
HUANCAVELÍCA,ANGARAES,LIRCAY,IBK,3668905.0,0.0,3668905.0,17815276.0,2814506.0,20629782.0,0.20594151895261123,0.0,0.17784506884270518
