cluster,lat,lon,canal,codigo,transacciones,departamento,provincia,distrito,n_puntos,codigos_agrupados,transacciones_agrupadas,diagnostico
361,-12.1498946,-77.015102,agente,NEW_AGENTE_00361,409.5,LIMA,LIMA,SANTIAGO DE SURCO,5,BV00003757|BV00012379|BV00014434|BV00014829|BV00017170,41.0|58.5|78.5|94.5|137.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=410 ≤ 2,000)."", ""Retirar/absorber códigos: BV00003757, BV00012379, BV00014434, BV00014829, BV00017170."", ""Insertar 1 punto consolidado en el centroide (lat=-12.149895, lon=-77.015102).""]"
362,-16.426320999999998,-71.5267746,agente,NEW_AGENTE_00362,846.0,AREQUIPA,AREQUIPA,JOSE LUIS BUSTAMANTE Y RIVERO,5,BV00009787|BV00017558|BV00017329|BV00007272|BV00014372,41.5|141.5|146.5|225.0|291.5,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=846 ≤ 2,000)."", ""Retirar/absorber códigos: BV00009787, BV00017558, BV00017329, BV00007272, BV00014372."", ""Insertar 1 punto consolidado en el centroide (lat=-16.426321, lon=-71.526775).""]"
363,-4.577454,-81.2698164,agente,NEW_AGENTE_00363,859.0,PIURA,TALARA,PARIÑAS,5,BV00016060|BV00008615|BV00006334|BV00002666|BV00011630,41.5|59.5|82.5|334.0|341.5,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=859 ≤ 2,000)."", ""Retirar/absorber códigos: BV00016060, BV00008615, BV00006334, BV00002666, BV00011630."", ""Insertar 1 punto consolidado en el centroide (lat=-4.577454, lon=-81.269816).""]"
364,-12.0014952,-77.06074579999999,agente,NEW_AGENTE_00364,777.0,LIMA,LIMA,INDEPENDENCIA,5,BV00014469|BV00011812|BV00009986|BV00013706|BV00012699,41.5|97.0|168.5|227.5|242.5,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=777 ≤ 2,000)."", ""Retirar/absorber códigos: BV00014469, BV00011812, BV00009986, BV00013706, BV00012699."", ""Insertar 1 punto consolidado en el centroide (lat=-12.001495, lon=-77.060746).""]"
365,-5.8973242,-76.1075852,agente,NEW_AGENTE_00365,648.0,LORETO,ALTO AMAZONAS,YURIMAGUAS,5,BV00010186|BV00013552|BV00012539|BV00013408|BV00003571,41.5|103.0|124.5|142.0|237.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=648 ≤ 2,000)."", ""Retirar/absorber códigos: BV00010186, BV00013552, BV00012539, BV00013408, BV00003571."", ""Insertar 1 punto consolidado en el centroide (lat=-5.897324, lon=-76.107585).""]"
366,-11.9945384,-77.0989808,agente,NEW_AGENTE_00366,438.5,LIMA,LIMA,SAN MARTIN DE PORRES,5,BV00013196|BV00015879|BV00016257|BV00008044|BV00016192,42.0|82.0|82.0|112.5|120.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=438 ≤ 2,000)."", ""Retirar/absorber códigos: BV00013196, BV00015879, BV00016257, BV00008044, BV00016192."", ""Insertar 1 punto consolidado en el centroide (lat=-11.994538, lon=-77.098981).""]"
367,-11.948976400000001,-76.98469,agente,NEW_AGENTE_00367,436.0,LIMA,LIMA,SAN JUAN DE LURIGANCHO,5,BV00015404|BV00003375|BV00015270|BV00008812|BV00017444,42.0|58.0|96.0|104.5|135.5,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=436 ≤ 2,000)."", ""Retirar/absorber códigos: BV00015404, BV00003375, BV00015270, BV00008812, BV00017444."", ""Insertar 1 punto consolidado en el centroide (lat=-11.948976, lon=-76.984690).""]"
368,-11.96524,-76.97114049999999,agente,NEW_AGENTE_00368,1544.5,LIMA,LIMA,SAN JUAN DE LURIGANCHO,4,BV00017490|BV00001043|BV00004335|BV00005556,42.0|352.0|378.5|772.0,"[""Consolidar 4 puntos de canal 'agente' por baja transaccionalidad (total=1,544 ≤ 2,000)."", ""Retirar/absorber códigos: BV00017490, BV00001043, BV00004335, BV00005556."", ""Insertar 1 punto consolidado en el centroide (lat=-11.965240, lon=-76.971140).""]"
369,-8.187842666666667,-78.98593033333334,agente,NEW_AGENTE_00369,961.5,LA LIBERTAD,TRUJILLO,SALAVERRY,3,BV00016369|BV00012816|BV00008327,42.5|208.0|711.0,"[""Consolidar 3 puntos de canal 'agente' por baja transaccionalidad (total=962 ≤ 2,000)."", ""Retirar/absorber códigos: BV00016369, BV00012816, BV00008327."", ""Insertar 1 punto consolidado en el centroide (lat=-8.187843, lon=-78.985930).""]"
370,-3.6926685,-80.43927149999999,agente,NEW_AGENTE_00370,372.5,TUMBES,TUMBES,PAMPAS DE HOSPITAL,2,BV00016527|BV00008079,42.5|330.0,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=372 ≤ 2,000)."", ""Retirar/absorber códigos: BV00016527, BV00008079."", ""Insertar 1 punto consolidado en el centroide (lat=-3.692668, lon=-80.439271).""]"
