cluster,lat,lon,canal,codigo,transacciones,departamento,provincia,distrito,n_puntos,codigos_agrupados,transacciones_agrupadas,diagnostico
0,-8.130903,-79.032376,atm,NEW_ATM_00000,1.0,LA LIBERTAD,TRUJILLO,TRUJILLO,5,438|1237|1362|1842|3017,0.0|0.0|0.0|0.0|1.0,"[""Consolidar 5 puntos de canal 'atm' por baja transaccionalidad (total=1 ≤ 2,000)."", ""Retirar/absorber códigos: 438, 1237, 1362, 1842, 3017."", ""Insertar 1 punto consolidado en el centroide (lat=-8.130903, lon=-79.032376).""]"
1,-12.093147599999998,-77.0356342,atm,NEW_ATM_00001,1309.0,LIMA,LIMA,SAN ISIDRO,5,3123|1567|3169|718|1299,115|187|234|381|392,"[""Consolidar 5 puntos de canal 'atm' por baja transaccionalidad (total=1,309 ≤ 2,000)."", ""Retirar/absorber códigos: 3123, 1567, 3169, 718, 1299."", ""Insertar 1 punto consolidado en el centroide (lat=-12.093148, lon=-77.035634).""]"
2,-12.1038776,-77.023742,atm,NEW_ATM_00002,1763.0,LIMA,LIMA,SAN ISIDRO,5,2262|2120|455|3115|1521,111|155|157|594|746,"[""Consolidar 5 puntos de canal 'atm' por baja transaccionalidad (total=1,763 ≤ 2,000)."", ""Retirar/absorber códigos: 2262, 2120, 455, 3115, 1521."", ""Insertar 1 punto consolidado en el centroide (lat=-12.103878, lon=-77.023742).""]"
3,-12.056749499999999,-77.063425,oficina,NEW_OFICINA_00003,1529.0,LIMA,LIMA,LIMA,2,385|132,3.0|1526.0,"[""Consolidar 2 puntos de canal 'oficina' por baja transaccionalidad (total=1,529 ≤ 2,000)."", ""Retirar/absorber códigos: 385, 132."", ""Insertar 1 punto consolidado en el centroide (lat=-12.056749, lon=-77.063425).""]"
4,-11.980966200000001,-77.0807682,agente,NEW_AGENTE_00004,73.0,LIMA,LIMA,LOS OLIVOS,5,BV00017653|BV00017705|BV00008382|BV00016922|BV00017627,0.0|4.5|5.5|23.5|39.5,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=73 ≤ 2,000)."", ""Retirar/absorber códigos: BV00017653, BV00017705, BV00008382, BV00016922, BV00017627."", ""Insertar 1 punto consolidado en el centroide (lat=-11.980966, lon=-77.080768).""]"
5,-12.0243882,-77.02969119999999,agente,NEW_AGENTE_00005,187.0,LIMA,LIMA,RIMAC,5,BV00017214|BV00000496|BV00006386|BV00015278|BV00016380,0.0|26.5|32.5|43.0|85.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=187 ≤ 2,000)."", ""Retirar/absorber códigos: BV00017214, BV00000496, BV00006386, BV00015278, BV00016380."", ""Insertar 1 punto consolidado en el centroide (lat=-12.024388, lon=-77.029691).""]"
6,-7.763479666666666,-79.147635,agente,NEW_AGENTE_00006,993.5,LA LIBERTAD,ASCOPE,CASA GRANDE,3,BV00017212|BV00017508|BV00013072,0.0|146.0|847.5,"[""Consolidar 3 puntos de canal 'agente' por baja transaccionalidad (total=994 ≤ 2,000)."", ""Retirar/absorber códigos: BV00017212, BV00017508, BV00013072."", ""Insertar 1 punto consolidado en el centroide (lat=-7.763480, lon=-79.147635).""]"
7,-11.9544714,-76.99075239999999,agente,NEW_AGENTE_00007,61.5,LIMA,LIMA,SAN JUAN DE LURIGANCHO,5,BV00017210|BV00017694|BV00017396|BV00013222|BV00014978,0.0|1.0|2.0|19.0|39.5,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=62 ≤ 2,000)."", ""Retirar/absorber códigos: BV00017210, BV00017694, BV00017396, BV00013222, BV00014978."", ""Insertar 1 punto consolidado en el centroide (lat=-11.954471, lon=-76.990752).""]"
8,-9.527512620000001,-77.52822660000001,agente,NEW_AGENTE_00008,72.5,ANCASH,HUARAZ,HUARAZ,5,BV00017192|BV00016756|BV00016733|BV00014711|BV00016573,0.0|3.5|18.5|25.0|25.5,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=72 ≤ 2,000)."", ""Retirar/absorber códigos: BV00017192, BV00016756, BV00016733, BV00014711, BV00016573."", ""Insertar 1 punto consolidado en el centroide (lat=-9.527513, lon=-77.528227).""]"
9,-13.1593246,-74.22174319999999,agente,NEW_AGENTE_00009,35.0,AYACUCHO,HUAMANGA,AYACUCHO,5,BV00017177|BV00017611|BV00016522|BV00017264|BV00013834,0.0|2.0|5.5|11.5|16.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=35 ≤ 2,000)."", ""Retirar/absorber códigos: BV00017177, BV00017611, BV00016522, BV00017264, BV00013834."", ""Insertar 1 punto consolidado en el centroide (lat=-13.159325, lon=-74.221743).""]"
10,-15.4853336,-70.13256679999999,agente,NEW_AGENTE_00010,56.0,PUNO,SAN ROMAN,JULIACA,5,BV00017315|BV00016395|BV00014836|BV00016047|BV00017314,0.5|5.0|10.0|20.0|20.5,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=56 ≤ 2,000)."", ""Retirar/absorber códigos: BV00017315, BV00016395, BV00014836, BV00016047, BV00017314."", ""Insertar 1 punto consolidado en el centroide (lat=-15.485334, lon=-70.132567).""]"
11,-8.0862936,-78.957404,agente,NEW_AGENTE_00011,181.0,LA LIBERTAD,TRUJILLO,LAREDO,5,BV00017702|BV00014309|BV00015791|BV00011193|BV00013759,0.5|1.5|47.0|48.0|84.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=181 ≤ 2,000)."", ""Retirar/absorber códigos: BV00017702, BV00014309, BV00015791, BV00011193, BV00013759."", ""Insertar 1 punto consolidado en el centroide (lat=-8.086294, lon=-78.957404).""]"
12,-5.81939,-78.27441099999999,agente,NEW_AGENTE_00012,574.5,AMAZONAS,UTCUBAMBA,CAJARURO,2,BV00017701|BV00013292,0.5|574.0,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=574 ≤ 2,000)."", ""Retirar/absorber códigos: BV00017701, BV00013292."", ""Insertar 1 punto consolidado en el centroide (lat=-5.819390, lon=-78.274411).""]"
13,-11.2656285,-75.65015249999999,agente,NEW_AGENTE_00013,976.0,JUNIN,TARMA,HUASAHUASI,2,BV00017684|BV00006426,0.5|975.5,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=976 ≤ 2,000)."", ""Retirar/absorber códigos: BV00017684, BV00006426."", ""Insertar 1 punto consolidado en el centroide (lat=-11.265629, lon=-75.650152).""]"
14,-12.053201000000001,-77.0567558,agente,NEW_AGENTE_00014,328.0,LIMA,LIMA,CERCADO DE LIMA,5,BV00017691|BV00004353|BV00016408|BV00013790|BV00000045,0.5|4.5|44.0|129.0|150.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=328 ≤ 2,000)."", ""Retirar/absorber códigos: BV00017691, BV00004353, BV00016408, BV00013790, BV00000045."", ""Insertar 1 punto consolidado en el centroide (lat=-12.053201, lon=-77.056756).""]"
15,-16.4212716,-71.5398208,agente,NEW_AGENTE_00015,229.5,AREQUIPA,AREQUIPA,JACOBO HUNTER,5,BV00017195|BV00011732|BV00011842|BV00015752|BV00017481,0.5|11.0|38.5|75.5|104.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=230 ≤ 2,000)."", ""Retirar/absorber códigos: BV00017195, BV00011732, BV00011842, BV00015752, BV00017481."", ""Insertar 1 punto consolidado en el centroide (lat=-16.421272, lon=-71.539821).""]"
16,-11.900293200000002,-77.0398142,agente,NEW_AGENTE_00016,101.0,LIMA,LIMA,CARABAYLLO,5,BV00017446|BV00017137|BV00005150|BV00017124|BV00013036,1.0|4.0|12.5|36.0|47.5,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=101 ≤ 2,000)."", ""Retirar/absorber códigos: BV00017446, BV00017137, BV00005150, BV00017124, BV00013036."", ""Insertar 1 punto consolidado en el centroide (lat=-11.900293, lon=-77.039814).""]"
17,-16.223663000000002,-72.47067,agente,NEW_AGENTE_00017,15.5,AREQUIPA,CASTILLA,URACA,2,BV00017274|BV00013769,1.0|14.5,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=16 ≤ 2,000)."", ""Retirar/absorber códigos: BV00017274, BV00013769."", ""Insertar 1 punto consolidado en el centroide (lat=-16.223663, lon=-72.470670).""]"
18,-13.306032333333334,-72.11703466666667,agente,NEW_AGENTE_00018,1181.5,CUSCO,URUBAMBA,URUBAMBA,3,BV00016843|BV00011929|BV00001295,1.0|522.5|658.0,"[""Consolidar 3 puntos de canal 'agente' por baja transaccionalidad (total=1,182 ≤ 2,000)."", ""Retirar/absorber códigos: BV00016843, BV00011929, BV00001295."", ""Insertar 1 punto consolidado en el centroide (lat=-13.306032, lon=-72.117035).""]"
19,-16.4793508,-71.5042574,agente,NEW_AGENTE_00019,806.0,AREQUIPA,AREQUIPA,CHARACATO,5,BV00015859|BV00014157|BV00016188|BV00006567|BV00016684,1.0|19.0|217.5|236.5|332.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=806 ≤ 2,000)."", ""Retirar/absorber códigos: BV00015859, BV00014157, BV00016188, BV00006567, BV00016684."", ""Insertar 1 punto consolidado en el centroide (lat=-16.479351, lon=-71.504257).""]"
20,-12.0688272,-75.21232979999999,agente,NEW_AGENTE_00020,71.0,JUNIN,HUANCAYO,HUANCAYO,5,BV00015448|BV00016655|BV00012082|BV00013539|BV00016481,1.0|12.0|14.0|17.5|26.5,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=71 ≤ 2,000)."", ""Retirar/absorber códigos: BV00015448, BV00016655, BV00012082, BV00013539, BV00016481."", ""Insertar 1 punto consolidado en el centroide (lat=-12.068827, lon=-75.212330).""]"
21,-12.044824,-76.973826,agente,NEW_AGENTE_00021,17.5,LIMA,LIMA,SANTA ANITA,5,BV00010911|BV00015550|BV00010355|BV00004290|BV00010356,1.0|1.5|2.0|2.0|11.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=18 ≤ 2,000)."", ""Retirar/absorber códigos: BV00010911, BV00015550, BV00010355, BV00004290, BV00010356."", ""Insertar 1 punto consolidado en el centroide (lat=-12.044824, lon=-76.973826).""]"
22,-12.153000599999999,-76.9527358,agente,NEW_AGENTE_00022,377.5,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,5,BV00008876|BV00011952|BV00012143|BV00016074|BV00016460,1.0|53.0|86.0|106.5|131.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=378 ≤ 2,000)."", ""Retirar/absorber códigos: BV00008876, BV00011952, BV00012143, BV00016074, BV00016460."", ""Insertar 1 punto consolidado en el centroide (lat=-12.153001, lon=-76.952736).""]"
23,-12.111522200000001,-76.8740626,agente,NEW_AGENTE_00023,56.5,LIMA,LIMA,PACHACAMAC,5,BV00004233|BV00013221|BV00015269|BV00014683|BV00014850,1.0|7.5|9.0|9.5|29.5,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=56 ≤ 2,000)."", ""Retirar/absorber códigos: BV00004233, BV00013221, BV00015269, BV00014683, BV00014850."", ""Insertar 1 punto consolidado en el centroide (lat=-12.111522, lon=-76.874063).""]"
24,-6.77960842,-79.8642102,agente,NEW_AGENTE_00024,255.0,LAMBAYEQUE,CHICLAYO,CHICLAYO,5,BV00000360|BV00011714|BV00016749|BV00017689|BV00013522,1.0|31.5|37.5|88.5|96.5,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=255 ≤ 2,000)."", ""Retirar/absorber códigos: BV00000360, BV00011714, BV00016749, BV00017689, BV00013522."", ""Insertar 1 punto consolidado en el centroide (lat=-6.779608, lon=-79.864210).""]"
25,-12.1526386,-76.9887332,agente,NEW_AGENTE_00025,133.5,LIMA,LIMA,SANTIAGO DE SURCO,5,BV00017679|BV00015946|BV00004172|BV00017300|BV00017412,1.0|2.0|5.0|25.0|100.5,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=134 ≤ 2,000)."", ""Retirar/absorber códigos: BV00017679, BV00015946, BV00004172, BV00017300, BV00017412."", ""Insertar 1 punto consolidado en el centroide (lat=-12.152639, lon=-76.988733).""]"
26,-8.067347600000002,-79.017251,agente,NEW_AGENTE_00026,394.5,LA LIBERTAD,TRUJILLO,EL PORVENIR,5,BV00017686|BV00013002|BV00014488|BV00013901|BV00017183,1.0|47.5|75.0|132.5|138.5,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=394 ≤ 2,000)."", ""Retirar/absorber códigos: BV00017686, BV00013002, BV00014488, BV00013901, BV00017183."", ""Insertar 1 punto consolidado en el centroide (lat=-8.067348, lon=-79.017251).""]"
27,-10.575083000000001,-75.4057896,agente,NEW_AGENTE_00027,1633.0,PASCO,OXAPAMPA,OXAPAMPA,5,BV00017426|BV00015756|BV00005539|BV00013751|BV00012023,1.0|46.0|235.5|405.0|945.5,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=1,633 ≤ 2,000)."", ""Retirar/absorber códigos: BV00017426, BV00015756, BV00005539, BV00013751, BV00012023."", ""Insertar 1 punto consolidado en el centroide (lat=-10.575083, lon=-75.405790).""]"
28,-8.086996199999998,-79.0026254,agente,NEW_AGENTE_00028,38.5,LA LIBERTAD,TRUJILLO,EL PORVENIR,5,BV00017623|BV00011616|BV00017669|BV00015336|BV00007959,1.0|2.5|3.5|11.5|20.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=38 ≤ 2,000)."", ""Retirar/absorber códigos: BV00017623, BV00011616, BV00017669, BV00015336, BV00007959."", ""Insertar 1 punto consolidado en el centroide (lat=-8.086996, lon=-79.002625).""]"
29,-10.7491378,-77.7600606,agente,NEW_AGENTE_00029,359.0,LIMA,BARRANCA,BARRANCA,5,BV00017117|BV00016026|BV00014892|BV00016077|BV00017621,1.0|12.0|79.5|123.5|143.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=359 ≤ 2,000)."", ""Retirar/absorber códigos: BV00017117, BV00016026, BV00014892, BV00016077, BV00017621."", ""Insertar 1 punto consolidado en el centroide (lat=-10.749138, lon=-77.760061).""]"
30,-11.946945399999999,-77.0875372,agente,NEW_AGENTE_00030,216.5,LIMA,LIMA,SAN MARTIN DE PORRES,5,BV00017025|BV00017502|BV00017120|BV00009195|BV00010348,1.0|19.0|59.5|62.5|74.5,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=216 ≤ 2,000)."", ""Retirar/absorber códigos: BV00017025, BV00017502, BV00017120, BV00009195, BV00010348."", ""Insertar 1 punto consolidado en el centroide (lat=-11.946945, lon=-77.087537).""]"
31,-9.121191,-78.54075639999999,agente,NEW_AGENTE_00031,120.5,ANCASH,SANTA,NUEVO CHIMBOTE,5,BV00016652|BV00015902|BV00017609|BV00011078|BV00016607,1.0|6.0|35.5|37.0|41.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=120 ≤ 2,000)."", ""Retirar/absorber códigos: BV00016652, BV00015902, BV00017609, BV00011078, BV00016607."", ""Insertar 1 punto consolidado en el centroide (lat=-9.121191, lon=-78.540756).""]"
32,-6.1528453999999995,-79.71508800000001,agente,NEW_AGENTE_00032,1147.5,LAMBAYEQUE,LAMBAYEQUE,MOTUPE,5,BV00015461|BV00017537|BV00017476|BV00005344|BV00006859,1.0|40.5|94.5|402.5|609.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=1,148 ≤ 2,000)."", ""Retirar/absorber códigos: BV00015461, BV00017537, BV00017476, BV00005344, BV00006859."", ""Insertar 1 punto consolidado en el centroide (lat=-6.152845, lon=-79.715088).""]"
33,-11.8884232,-77.0690128,agente,NEW_AGENTE_00033,229.5,LIMA,LIMA,PUENTE PIEDRA,5,BV00008445|BV00014032|BV00010167|BV00017552|BV00017449,1.0|15.0|26.0|60.5|127.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=230 ≤ 2,000)."", ""Retirar/absorber códigos: BV00008445, BV00014032, BV00010167, BV00017552, BV00017449."", ""Insertar 1 punto consolidado en el centroide (lat=-11.888423, lon=-77.069013).""]"
34,-15.366401,-75.162619,agente,NEW_AGENTE_00034,569.5,ICA,NAZCA,MARCONA,2,BV00017354|BV00012292,1.5|568.0,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=570 ≤ 2,000)."", ""Retirar/absorber códigos: BV00017354, BV00012292."", ""Insertar 1 punto consolidado en el centroide (lat=-15.366401, lon=-75.162619).""]"
35,-12.056574600000001,-77.0278686,agente,NEW_AGENTE_00035,105.5,LIMA,LIMA,CERCADO DE LIMA,5,BV00017418|BV00012637|BV00015942|BV00010988|BV00012649,1.5|2.0|11.0|38.5|52.5,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=106 ≤ 2,000)."", ""Retirar/absorber códigos: BV00017418, BV00012637, BV00015942, BV00010988, BV00012649."", ""Insertar 1 punto consolidado en el centroide (lat=-12.056575, lon=-77.027869).""]"
36,-6.6802864,-78.5199254,agente,NEW_AGENTE_00036,144.5,CAJAMARCA,HUALGAYOC,BAMBAMARCA,5,BV00016664|BV00015688|BV00014175|BV00015020|BV00016660,1.5|10.5|35.0|43.5|54.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=144 ≤ 2,000)."", ""Retirar/absorber códigos: BV00016664, BV00015688, BV00014175, BV00015020, BV00016660."", ""Insertar 1 punto consolidado en el centroide (lat=-6.680286, lon=-78.519925).""]"
37,-12.657355200000001,-76.63433219999999,agente,NEW_AGENTE_00037,1337.0,LIMA,CAÑETE,MALA,5,BV00015691|BV00013063|BV00015492|BV00004932|BV00003101,1.5|173.0|208.5|216.5|737.5,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=1,337 ≤ 2,000)."", ""Retirar/absorber códigos: BV00015691, BV00013063, BV00015492, BV00004932, BV00003101."", ""Insertar 1 punto consolidado en el centroide (lat=-12.657355, lon=-76.634332).""]"
38,-13.6359164,-72.875895,agente,NEW_AGENTE_00038,698.0,APURIMAC,ABANCAY,ABANCAY,5,BV00014896|BV00014963|BV00014714|BV00014971|BV00010191,1.5|32.0|58.5|162.0|444.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=698 ≤ 2,000)."", ""Retirar/absorber códigos: BV00014896, BV00014963, BV00014714, BV00014971, BV00010191."", ""Insertar 1 punto consolidado en el centroide (lat=-13.635916, lon=-72.875895).""]"
39,-6.758038999999999,-79.85344760000001,agente,NEW_AGENTE_00039,80.5,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,5,BV00013982|BV00000437|BV00012476|BV00014701|BV00015343,1.5|2.5|17.5|24.0|35.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=80 ≤ 2,000)."", ""Retirar/absorber códigos: BV00013982, BV00000437, BV00012476, BV00014701, BV00015343."", ""Insertar 1 punto consolidado en el centroide (lat=-6.758039, lon=-79.853448).""]"
40,-12.0555002,-76.9598086,agente,NEW_AGENTE_00040,14.5,LIMA,LIMA,ATE,5,BV00013711|BV00015892|BV00006834|BV00012410|BV00014463,1.5|1.5|2.0|2.0|7.5,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=14 ≤ 2,000)."", ""Retirar/absorber códigos: BV00013711, BV00015892, BV00006834, BV00012410, BV00014463."", ""Insertar 1 punto consolidado en el centroide (lat=-12.055500, lon=-76.959809).""]"
41,-12.064992,-77.0097634,agente,NEW_AGENTE_00041,39.5,LIMA,LIMA,LA VICTORIA,5,BV00012884|BV00007178|BV00009191|BV00012182|BV00013352,1.5|3.0|5.0|10.0|20.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=40 ≤ 2,000)."", ""Retirar/absorber códigos: BV00012884, BV00007178, BV00009191, BV00012182, BV00013352."", ""Insertar 1 punto consolidado en el centroide (lat=-12.064992, lon=-77.009763).""]"
42,-5.1917568,-80.640118,agente,NEW_AGENTE_00042,177.5,PIURA,PIURA,PIURA,5,BV00012758|BV00017491|BV00015952|BV00017667|BV00017450,1.5|23.5|29.0|29.5|94.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=178 ≤ 2,000)."", ""Retirar/absorber códigos: BV00012758, BV00017491, BV00015952, BV00017667, BV00017450."", ""Insertar 1 punto consolidado en el centroide (lat=-5.191757, lon=-80.640118).""]"
43,-12.055634600000001,-75.1969196,agente,NEW_AGENTE_00043,366.0,JUNIN,HUANCAYO,HUANCAYO,5,BV00009891|BV00017642|BV00012404|BV00010299|BV00016256,1.5|50.5|94.5|108.5|111.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=366 ≤ 2,000)."", ""Retirar/absorber códigos: BV00009891, BV00017642, BV00012404, BV00010299, BV00016256."", ""Insertar 1 punto consolidado en el centroide (lat=-12.055635, lon=-75.196920).""]"
44,-12.517757600000001,-73.82692560000001,agente,NEW_AGENTE_00044,464.0,CUSCO,LA CONVENCION,PICHARI,5,BV00016542|BV00017392|BV00016117|BV00001678|BV00013152,1.5|19.5|129.0|155.0|159.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=464 ≤ 2,000)."", ""Retirar/absorber códigos: BV00016542, BV00017392, BV00016117, BV00001678, BV00013152."", ""Insertar 1 punto consolidado en el centroide (lat=-12.517758, lon=-73.826926).""]"
45,-12.0342094,-76.961486,agente,NEW_AGENTE_00045,21.0,LIMA,LIMA,SANTA ANITA,5,BV00015931|BV00016037|BV00007599|BV00009696|BV00010358,1.5|3.0|3.0|6.5|7.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=21 ≤ 2,000)."", ""Retirar/absorber códigos: BV00015931, BV00016037, BV00007599, BV00009696, BV00010358."", ""Insertar 1 punto consolidado en el centroide (lat=-12.034209, lon=-76.961486).""]"
46,-13.6563536,-73.38574559999999,agente,NEW_AGENTE_00046,421.0,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,5,BV00014623|BV00016936|BV00008993|BV00009029|BV00009485,1.5|72.0|95.5|98.5|153.5,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=421 ≤ 2,000)."", ""Retirar/absorber códigos: BV00014623, BV00016936, BV00008993, BV00009029, BV00009485."", ""Insertar 1 punto consolidado en el centroide (lat=-13.656354, lon=-73.385746).""]"
47,-8.0808656,-79.0382112,agente,NEW_AGENTE_00047,40.0,LA LIBERTAD,TRUJILLO,LA ESPERANZA,5,BV00013524|BV00015151|BV00012256|BV00015470|BV00017511,1.5|3.5|5.0|9.0|21.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=40 ≤ 2,000)."", ""Retirar/absorber códigos: BV00013524, BV00015151, BV00012256, BV00015470, BV00017511."", ""Insertar 1 punto consolidado en el centroide (lat=-8.080866, lon=-79.038211).""]"
48,-12.5955658,-69.18024480000001,agente,NEW_AGENTE_00048,184.0,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,5,BV00012883|BV00012881|BV00009749|BV00012880|BV00015107,1.5|21.5|30.5|40.0|90.5,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=184 ≤ 2,000)."", ""Retirar/absorber códigos: BV00012883, BV00012881, BV00009749, BV00012880, BV00015107."", ""Insertar 1 punto consolidado en el centroide (lat=-12.595566, lon=-69.180245).""]"
49,-12.026026000000002,-76.93773200000001,agente,NEW_AGENTE_00049,415.0,LIMA,LIMA,ATE,5,BV00011961|BV00016639|BV00007916|BV00008391|BV00010350,1.5|49.5|101.5|124.5|138.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=415 ≤ 2,000)."", ""Retirar/absorber códigos: BV00011961, BV00016639, BV00007916, BV00008391, BV00010350."", ""Insertar 1 punto consolidado en el centroide (lat=-12.026026, lon=-76.937732).""]"
50,-14.880257799999999,-70.59218100000001,agente,NEW_AGENTE_00050,1882.0,PUNO,MELGAR,AYAVIRI,5,BV00016844|BV00014374|BV00011507|BV00009039|BV00005313,1.5|96.0|249.5|355.5|1179.5,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=1,882 ≤ 2,000)."", ""Retirar/absorber códigos: BV00016844, BV00014374, BV00011507, BV00009039, BV00005313."", ""Insertar 1 punto consolidado en el centroide (lat=-14.880258, lon=-70.592181).""]"
51,-3.7524398,-73.249775,agente,NEW_AGENTE_00051,45.0,LORETO,MAYNAS,IQUITOS,5,BV00016173|BV00016779|BV00015563|BV00014648|BV00017328,1.5|2.0|9.5|11.0|21.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=45 ≤ 2,000)."", ""Retirar/absorber códigos: BV00016173, BV00016779, BV00015563, BV00014648, BV00017328."", ""Insertar 1 punto consolidado en el centroide (lat=-3.752440, lon=-73.249775).""]"
52,-12.01874,-77.0305202,agente,NEW_AGENTE_00052,579.0,LIMA,LIMA,RIMAC,5,BV00002754|BV00017719|BV00016817|BV00016178|BV00010542,1.5|2.0|120.5|186.0|269.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=579 ≤ 2,000)."", ""Retirar/absorber códigos: BV00002754, BV00017719, BV00016817, BV00016178, BV00010542."", ""Insertar 1 punto consolidado en el centroide (lat=-12.018740, lon=-77.030520).""]"
53,-8.1136636,-79.0251982,agente,NEW_AGENTE_00053,137.5,LA LIBERTAD,TRUJILLO,TRUJILLO,5,BV00017386|BV00011460|BV00011695|BV00002839|BV00015388,2.0|4.5|18.5|50.5|62.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=138 ≤ 2,000)."", ""Retirar/absorber códigos: BV00017386, BV00011460, BV00011695, BV00002839, BV00015388."", ""Insertar 1 punto consolidado en el centroide (lat=-8.113664, lon=-79.025198).""]"
54,-11.929072399999999,-76.96401759999999,agente,NEW_AGENTE_00054,789.0,LIMA,LIMA,SAN JUAN DE LURIGANCHO,5,BV00015501|BV00011092|BV00017648|BV00017128|BV00013137,2.0|84.5|151.5|256.0|295.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=789 ≤ 2,000)."", ""Retirar/absorber códigos: BV00015501, BV00011092, BV00017648, BV00017128, BV00013137."", ""Insertar 1 punto consolidado en el centroide (lat=-11.929072, lon=-76.964018).""]"
55,-12.080208,-77.097669,agente,NEW_AGENTE_00055,215.0,LIMA,LIMA,SAN MIGUEL,5,BV00014921|BV00015594|BV00014722|BV00013586|BV00008886,2.0|32.0|47.5|58.5|75.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=215 ≤ 2,000)."", ""Retirar/absorber códigos: BV00014921, BV00015594, BV00014722, BV00013586, BV00008886."", ""Insertar 1 punto consolidado en el centroide (lat=-12.080208, lon=-77.097669).""]"
56,-7.1543756,-78.51713360000001,agente,NEW_AGENTE_00056,45.0,CAJAMARCA,CAJAMARCA,CAJAMARCA,5,BV00010647|BV00004509|BV00015905|BV00010415|BV00016612,2.0|7.0|9.0|13.0|14.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=45 ≤ 2,000)."", ""Retirar/absorber códigos: BV00010647, BV00004509, BV00015905, BV00010415, BV00016612."", ""Insertar 1 punto consolidado en el centroide (lat=-7.154376, lon=-78.517134).""]"
57,-13.693238,-76.02391966666666,agente,NEW_AGENTE_00057,778.0,ICA,PISCO,INDEPENDENCIA,3,BV00017247|BV00014561|BV00010100,2.0|319.5|456.5,"[""Consolidar 3 puntos de canal 'agente' por baja transaccionalidad (total=778 ≤ 2,000)."", ""Retirar/absorber códigos: BV00017247, BV00014561, BV00010100."", ""Insertar 1 punto consolidado en el centroide (lat=-13.693238, lon=-76.023920).""]"
